Variable;Scenario;Region;Value
reduced_laborcosts;SSP2;JPN;0
cost_maintenance;SSP2;JPN;0.12200000000000000
deltta_energydurable_gov;SSP2;JPN;0.08077621496949600
A_el_WITCH;SSP2;JPN;0.97584969850581
A_m_capital;SSP2;JPN;1
A_m_energydurable;SSP2;JPN;1
A_m_nondurable;SSP2;JPN;1
A_m_otherdurable;SSP2;JPN;1
A_nel_WITCH;SSP2;JPN;1.00468702355569
Demand_foreign_recycled;SSP2;JPN;0.036299017880858
Demand_foreign_virgin;SSP2;JPN;0.028325475709520
Y_sharing_ss;SSP2;JPN;0.003380840509449
etta;SSP2;JPN;0
Foreign_nondurable;SSP2;JPN;0.617690715496665
Foreign_otherdurable;SSP2;JPN;0.024922122035524
Foreign_energydurable;SSP2;JPN;0.020226523008425
Foreign_capital;SSP2;JPN;0.320903194272224
Foreign_virgin;SSP2;JPN;0.039748036420764
Foreign_recycled;SSP2;JPN;0.009224819951713
eppsilon;SSP2;JPN;1
alppha_el_capital;SSP2;JPN;4.712593052024190E-01
alppha_el_energydurable;SSP2;JPN;6.480201488798570E-01
alppha_el_nondurable;SSP2;JPN;1.410950934967520E-01
alppha_el_recycled;SSP2;JPN;6.136190937794120E-01
alppha_el_otherdurable;SSP2;JPN;6.353135621368500E-01
alppha_el_sharing;SSP2;JPN;2.872825207662180E-01
alppha_el_virgin;SSP2;JPN;1.700850327028700E-01
alppha_k_powercapacities;SSP2;JPN;0.03742464604837950
alppha_nel_capital;SSP2;JPN;2.254241088796040E-01
alppha_nel_energydurable;SSP2;JPN;1.100490445766760E-01
alppha_nel_nondurable;SSP2;JPN;5.999830135393140E-01
alppha_nel_recycled;SSP2;JPN;1.292745745827300E-01
alppha_nel_otherdurable;SSP2;JPN;1.169794883396410E-01
alppha_nel_sharing;SSP2;JPN;3.987405879765470E-01
alppha_nel_virgin;SSP2;JPN;5.532207073402140E-01
alppha_r_capital;SSP2;JPN;8.016450041716830E-06
alppha_r_energydurable;SSP2;JPN;1.072539900626660E-05
alppha_r_nondurable;SSP2;JPN;3.844720260904720E-03
alppha_r_otherdurable;SSP2;JPN;9.958462439773160E-05
alppha_v_capital;SSP2;JPN;5.558018082201500E-01
alppha_v_energydurable;SSP2;JPN;4.540713338822670E-01
alppha_v_nondurable;SSP2;JPN;3.113803906445180E-02
alppha_v_otherdurable;SSP2;JPN;2.647647090007370E-01
c_m;SSP2;JPN;0.01042000312120510
deltta_capital_fix;SSP2;JPN;0.0668290047869638
deltta_capital_physical;SSP2;JPN;0.010922324787403
deltta_otherdurable_fix;SSP2;JPN;0.0835666669490861
deltta_otherdurable_physical;SSP2;JPN;0.038442482340233
deltta_energydurable_fix;SSP2;JPN;0.57744494116808500
deltta_energydurable_physical;SSP2;JPN;0.60410438644282200
Error_stock_energydurable;SSP2;JPN;0.7922397516218E-03
Error_stock_otherdurable;SSP2;JPN;0.082689526434680
Error_stock_capital;SSP2;JPN;-2.7948727140160E-01
epr_fee_energydurable;SSP2;JPN;0.041304983233002600
epr_fee_otherdurable;SSP2;JPN;0.00329413285147989
g;SSP2;JPN;0.01152959350655950
gamma_capital;SSP2;JPN;0.01677886047805910
gamma_energydurable;SSP2;JPN;0.05333473780338740
gamma_nondurable;SSP2;JPN;0.20563397475841500
gamma_recycled;SSP2;JPN;0.0406131393632070
gamma_otherdurable;SSP2;JPN;0.08989176323118690
gamma_virgin;SSP2;JPN;0.03851173763810560
material_int_capital;SSP2;JPN;0.20263691572401
material_int_energydurable;SSP2;JPN;0.20263691572401
material_int_nondurable;SSP2;JPN;0.20263691572401
material_int_otherdurable;SSP2;JPN;0.20263691572401
modifier_sharing_cautious;SSP2;JPN;0
modifier_sharing_constrained;SSP2;JPN;0
modifier_sharing_lowcarbon;SSP2;JPN;0
g_modifier_sharing;SSP2;JPN;0
modifier_repair_cautious;SSP2;JPN;0
modifier_repair_constrained;SSP2;JPN;0
modifier_repair_lowcarbon;SSP2;JPN;0
modifier_expenditures_cautious;SSP2;JPN;0
modifier_expenditures_constrained;SSP2;JPN;0
modifier_expenditures_lowcarbon;SSP2;JPN;0
mu_sharedurable_firm;SSP2;JPN;1
n;SSP2;JPN;-0.006417728654264270
r_domestic;SSP2;JPN;0.000560858
redistribution_epr;SSP2;JPN;0
omegga_cautious;SSP2;JPN;0.156929607
omegga_ind_recycled;SSP2;JPN;0.84560281166092
omegga_lowcarbon;SSP2;JPN;0.69045663
omegga_mun_recycled;SSP2;JPN;0.212639060568603
p_el_f_2018;SSP2;JPN;4.90881959151643
p_el_h_2018;SSP2;JPN;5.30796428347245E+00
p_nel_f_2018;SSP2;JPN;1.93214117390141
p_nel_h_2018;SSP2;JPN;2.34864629757806E+00
g_el_witch;SSP2;JPN;0
g_nel_witch;SSP2;JPN;0
emissions_el_WITCH;SSP2;JPN;8.44603428499369E-11
emissions_nel_WITCH;SSP2;JPN;8.44603428499369E-11
Inv_RDEN_EE;SSP2;JPN;0
Inv_k_powercapacities;SSP2;JPN;0.00942315015566429
p_rawmaterials;SSP2;JPN;0.00669831691918934
p_recycled;SSP2;JPN;2.931557648190210E-02
p_virgin;SSP2;JPN;4.740306605762580E-02
redistribution;SSP2;JPN;0
repair_ed_bonus;SSP2;JPN;0
t_c_reduced;SSP2;JPN;0.099
t_el_f;SSP2;JPN;0.01096
t_el_h;SSP2;JPN;0
t_imports_capital;SSP2;JPN;0.002214
t_imports_energydurable;SSP2;JPN;0
t_imports_nondurable;SSP2;JPN;0.04398
t_imports_otherdurable;SSP2;JPN;0.032016
margin_capital;SSP2;JPN;0
margin_energydurable;SSP2;JPN;0
margin_nondurable;SSP2;JPN;0
margin_otherdurable;SSP2;JPN;0
gamma_reexport_capital;SSP2;JPN;1.382006014416100
gamma_reexport_energydurable;SSP2;JPN;1.233649123493330
gamma_reexport_nondurable;SSP2;JPN;1.387536971795230
gamma_reexport_otherdurable;SSP2;JPN;1.198306418017080
t_m;SSP2;JPN;0.00089635434
t_nel_f;SSP2;JPN;0.524974380084049
t_nel_h;SSP2;JPN;0.872085900719203
t_w;SSP2;JPN;0.09660560962581850
siggma_imports;SSP2;JPN;3.4
siggma_exports;SSP2;JPN;3.1
siggma_c;SSP2;JPN;0.98
siggma_home;SSP2;JPN;0.425
siggma_y;SSP2;JPN;0.2
siggma_kl;SSP2;JPN;0.75
siggma_e_f;SSP2;JPN;0.66
siggma_e_recycled;SSP2;JPN;0.66
siggma_e_virgin;SSP2;JPN;0.66
siggma_m;SSP2;JPN;0.8
siggma_es_lowcarbon;SSP2;JPN;1.1
siggma_es_cautious;SSP2;JPN;1.1
siggma_es_constrained;SSP2;JPN;1.1
siggma_z;SSP2;JPN;0.4
siggma_e_h;SSP2;JPN;0.66
siggma_sharing;SSP2;JPN;0.5
siggma_ies;SSP2;JPN;1.22
siggma_nes;SSP2;JPN;0.98
siggma_inv_ed;SSP2;JPN;1.5
siggma_dep;SSP2;JPN;1.04669
siggma_dep_lowuse;SSP2;JPN;1.08270769
ac_ik;SSP2;JPN;1.46
ac_id;SSP2;JPN;0.86845
p_capital_norm;SSP2;JPN;1
decay_mu;SSP2;JPN;0.804
decay_indu;SSP2;JPN;0.00001
t_c;SSP2;JPN;0.099
t_k;SSP2;JPN;1.790601235688190E-01
t_l;SSP2;JPN;0.319572567171492
g_c_nondurable;SSP2;JPN;3.206184779287120E-01
g_c_otherdurable;SSP2;JPN;2.047797831580270E-04
