Variable;JPN;Year;Value
omegga_lowcarbon;JPN;2019;0.69045663000000000
omegga_lowcarbon;JPN;2020;0.69270670000000000
omegga_lowcarbon;JPN;2021;0.69486479100000000
omegga_lowcarbon;JPN;2022;0.69702960600000000
omegga_lowcarbon;JPN;2023;0.69920116500000000
omegga_lowcarbon;JPN;2024;0.70137948900000000
omegga_lowcarbon;JPN;2025;0.70356460000000000
omegga_lowcarbon;JPN;2026;0.70556214500000000
omegga_lowcarbon;JPN;2027;0.70756536100000000
omegga_lowcarbon;JPN;2028;0.70957426500000000
omegga_lowcarbon;JPN;2029;0.71158887300000000
omegga_lowcarbon;JPN;2030;0.71360920000000000
omegga_lowcarbon;JPN;2031;0.71532328600000000
omegga_lowcarbon;JPN;2032;0.71704148900000000
omegga_lowcarbon;JPN;2033;0.71876381900000000
omegga_lowcarbon;JPN;2034;0.72049028600000000
omegga_lowcarbon;JPN;2035;0.72222090000000000
omegga_lowcarbon;JPN;2036;0.72376532100000000
omegga_lowcarbon;JPN;2037;0.72531304400000000
omegga_lowcarbon;JPN;2038;0.72686407700000000
omegga_lowcarbon;JPN;2039;0.72841842600000000
omegga_lowcarbon;JPN;2040;0.72997610000000000
omegga_lowcarbon;JPN;2041;0.73155356700000000
omegga_lowcarbon;JPN;2042;0.73313444400000000
omegga_lowcarbon;JPN;2043;0.73471873600000000
omegga_lowcarbon;JPN;2044;0.73630645300000000
omegga_lowcarbon;JPN;2045;0.73789760000000000
omegga_lowcarbon;JPN;2046;0.73943950300000000
omegga_lowcarbon;JPN;2047;0.74098462700000000
omegga_lowcarbon;JPN;2048;0.74253298000000000
omegga_lowcarbon;JPN;2049;0.74408456900000000
omegga_lowcarbon;JPN;2050;0.74563940000000000
omegga_lowcarbon;JPN;2051;0.74731328800000000
omegga_lowcarbon;JPN;2052;0.74899093300000000
omegga_lowcarbon;JPN;2053;0.75067234500000000
omegga_lowcarbon;JPN;2054;0.75235753100000000
omegga_lowcarbon;JPN;2055;0.75404650000000000
omegga_lowcarbon;JPN;2056;0.75574057100000000
omegga_lowcarbon;JPN;2057;0.75743844800000000
omegga_lowcarbon;JPN;2058;0.75914013900000000
omegga_lowcarbon;JPN;2059;0.76084565400000000
